"Reference","Value","Footprint","Qty"
"RV4, RV6","500k","Potentiometer_THT:Potentiometer_Bourns_3339H_Vertical","2"
"RV5","100k","Potentiometer_THT:Potentiometer_Bourns_3339H_Vertical","1"
"RV7","500k","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","1"
"RV8-RV10","100k","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","3"
"RV11, RV12","50k","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","2"
"TR1-TR5","FMBM5551","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","5"
"U1-U12, U37","TL082","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","13"
"U13","TL084","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","1"
"U14","RC4580","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1"
"U15, U17","TL082","Package_SO:SO-8_3.9x4.9mm_P1.27mm","2"
"U18","LM4040DBZ-10","Package_TO_SOT_SMD:SOT-23","1"
"U19, U31","74HC148","Package_SO:SOIC-16W_5.3x10.2mm_P1.27mm","2"
"U20, U21, U29, U30","LM339","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","4"
"U22-U26, U28, U32-U35","DG4051E","Package_SO:TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm","10"
"U27","74LS151","Package_SO:TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm","1"
"U36","LM78M05_TO252","Package_TO_SOT_SMD:TO-252-2","1"
